Promise Tracker,Joy Buolamwini,Associate Professor of the Practice in Media Arts and Sciences
Promise Tracker,Rahul Bhargava,Associate Professor of the Practice in Media Arts and Sciences
Promise Tracker,Alexis Hope,Associate Professor of the Practice in Media Arts and Sciences
Promise Tracker,Jude Mwenda Ntabathia,Associate Professor of the Practice in Media Arts and Sciences
"""Kind and Grateful"": Promoting Kindness and Gratitude with Pervasive Technology",Asma Ghandeharioun,Research Assistant
"""Kind and Grateful"": Promoting Kindness and Gratitude with Pervasive Technology",Asaph Azaria,Research Assistant
"""Kind and Grateful"": Promoting Kindness and Gratitude with Pervasive Technology",Sara Taylor,Research Assistant
"""Kind and Grateful"": Promoting Kindness and Gratitude with Pervasive Technology",Rosalind W. Picard,Research Assistant
Chronosonogy: Sonic Sensory Time Shifting,Alexandra Rieger,Research Assistant
Programmable Synthetic Hallucinations,V. Michael Bove,Principal Research Scientist
Teshima 8 Million Lab,Sputniko!,Assistant Professor of Media Arts and Sciences
Programmable Synthetic Hallucinations,Daniel Novy,Principal Research Scientist
MM-RT,Akito Oshiro van Troyer,Research Affiliate
SoundFORMS: Manipulating Sound Through Touch,Don Derek Haddad,Research Assistant
SoundFORMS: Manipulating Sound Through Touch,Brian Tice,Research Assistant
SoundFORMS: Manipulating Sound Through Touch,Hiroshi Ishii,Research Assistant
Tranceflora—Amy's Glowing Silk,Sputniko!,Assistant Professor of Media Arts and Sciences
Aether Muse,Charles Holbrow,Research Assistant
Red Silk of Fate—Tamaki's Crush,Sputniko!,Assistant Professor of Media Arts and Sciences
Egstrogen Farms,Mary Tsang,Research Assistant
Social Learning Recommender Bots,Dhaval Adjodah,Research Assistant
ImmerSound VR,Rebecca Kleinberger,Research Assistant
Social Learning Recommender Bots,Peter Krafft,Research Assistant
Social Learning Recommender Bots,Alex 'Sandy' Pentland,Research Assistant
Social Learning Recommender Bots,Esteban Moro Egido,Research Assistant
BrightBeat: Effortlessly Influencing Breathing for Cultivating Calmness and Focus,Asma Ghandeharioun,Research Assistant
Social AI and Extended Intelligence,Alex 'Sandy' Pentland,Professor of Media Arts and Sciences
Visualizing patterns of segregation,Abdulrahman Alotaibi,Research Assistant
BrightBeat: Effortlessly Influencing Breathing for Cultivating Calmness and Focus,Rosalind W. Picard,Research Assistant
Social AI and Extended Intelligence,Esteban Moro Egido,Professor of Media Arts and Sciences
Social AI and Extended Intelligence,Dhaval Adjodah,Professor of Media Arts and Sciences
Social AI and Extended Intelligence,Peter Krafft,Professor of Media Arts and Sciences
Visualizing patterns of segregation,Eaman Jahani,Research Assistant
Visualizing patterns of segregation,Xiaowen Dong,Research Assistant
Visualizing patterns of segregation,Alfredo Morales-Guzman,Research Assistant
Visualizing patterns of segregation,Alex 'Sandy' Pentland,Research Assistant
The Ripple Effect: You Are More Influential Than You Think,Alex 'Sandy' Pentland,Professor of Media Arts and Sciences
The Ripple Effect: You Are More Influential Than You Think,Esteban Moro Egido,Professor of Media Arts and Sciences
The Ripple Effect: You Are More Influential Than You Think,Xiaowen Dong,Professor of Media Arts and Sciences
The Ripple Effect: You Are More Influential Than You Think,Yan Leng,Professor of Media Arts and Sciences
Social Physics of Unemployment,Alex 'Sandy' Pentland,Professor of Media Arts and Sciences
Understanding Molecular Evolution,Kevin Esvelt,Assistant Professor of Media Arts and Sciences
Social Physics of Unemployment,Abdullah M. Almaatouq,Professor of Media Arts and Sciences
Understanding Molecular Evolution,Erika Alden DeBenedictis,Assistant Professor of Media Arts and Sciences
Scratch Extensions,Andrew Sliwinski,Research Scientist
Solar Micro-Mining,Andrew Lippman,Senior Research Scientist
Scratch Extensions,Kreg Hanning,Research Scientist
Scratch Extensions,Christopher Willis-Ford,Research Scientist
Scratch Extensions,Eric Rosenbaum,Research Scientist
Scratch Extensions,Stefania Druga,Research Scientist
Scratch Extensions,Sayamindu Dasgupta,Research Scientist
Solar Micro-Mining,Ariel Ekblaw,Senior Research Scientist
NeverEnding Drawing Machine,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
ListenTree: Audio-Haptic Display in the Natural Environment,V. Michael Bove,Principal Research Scientist
NeverEnding Drawing Machine,V. Michael Bove,Associate Professor of Media Arts and Sciences
NeverEnding Drawing Machine,Glorianna Davenport,Associate Professor of Media Arts and Sciences
ListenTree: Audio-Haptic Display in the Natural Environment,Joseph A. Paradiso,Principal Research Scientist
ListenTree: Audio-Haptic Display in the Natural Environment,Edwina Portocarrero,Principal Research Scientist
ListenTree: Audio-Haptic Display in the Natural Environment,Gershon Dublon,Principal Research Scientist
TRICICLO,Edwina Portocarrero,Research Assistant
NailO,Cindy Hsin-Liu Kao,Research Assistant
Digital Fiat Currency,Robleh Ali,Research Scientist
NailO,Artem Dementyev,Research Assistant
NailO,Joseph A. Paradiso,Research Assistant
NailO,Chris Schmandt,Research Assistant
Immersion,Daniel Smilkov,Research Assistant
Cultural Lens,Manisha Mohan,Research Assistant
Immersion,Deepak Jagdish,Research Assistant
Immersion,Cesar A. Hidalgo,Research Assistant
Cultural Lens,Daniel Fitzgerald,Research Assistant
Robotic Assembly of Discrete Cellular Lattices (Digital Materials),Neil A. Gershenfeld,"Director, Center for Bits and Atoms"
Cultural Lens,Nikolaos Vlavianos ,Research Assistant
Robotic Assembly of Discrete Cellular Lattices (Digital Materials),Matthew Carney,"Director, Center for Bits and Atoms"
Programming Wireless Networks (Computer Networks),Fadel Adib,Assistant Professor of Media Arts and Sciences
Slap Snap Tap,Mitchel Resnick,LEGO Papert Professor of Learning Research
Collective Learning  in China's Regional Economic Development,Jian Gao,Research Assistant
Slap Snap Tap,Ethan Zuckerman,LEGO Papert Professor of Learning Research
Slap Snap Tap,Joy Buolamwini,LEGO Papert Professor of Learning Research
Disembodied Performance,Tod Machover,Muriel R. Cooper Professor of Music and Media
Collective Learning  in China's Regional Economic Development,Bogang Jun,Research Assistant
Collective Learning  in China's Regional Economic Development,Cesar A. Hidalgo,Research Assistant
Disembodied Performance,Elena Jessop,Muriel R. Cooper Professor of Music and Media
Disembodied Performance,Peter A. Torpey,Muriel R. Cooper Professor of Music and Media
Persuasive Cities,Kent Larson,Principal Research Scientist
Persuasive Cities,Agnis Stibe,Principal Research Scientist
Persuasive Cities,Ryan C. C. Chin,Principal Research Scientist
Hacking Manufacturing 2017,Jifei Ou,Research Assistant
Hacking Manufacturing 2017,Guillermo Bernal,Research Assistant
Hacking Manufacturing 2017,Laya Anasu,Research Assistant
Hacking Manufacturing 2017,Artem Dementyev,Research Assistant
Hacking Manufacturing 2017,Anne Liu,Research Assistant
Hacking Manufacturing 2017,Don Derek Haddad,Research Assistant
Hacking Manufacturing 2017,Jie Qi,Research Assistant
Hacking Manufacturing 2017,Amos Golan,Research Assistant
Hacking Manufacturing 2017,Daniel Oran,Research Assistant
Hacking Manufacturing 2017,Miguel Perez,Research Assistant
Inequality and the impact of industrial structures,Cesar A. Hidalgo,Associate Professor of Media Arts and Sciences
Pantheon,Cesar A. Hidalgo,Associate Professor of Media Arts and Sciences
Inequality and the impact of industrial structures,Cristian Ignacio Jara Figueroa,Associate Professor of Media Arts and Sciences
Pantheon,Kevin Zeng Hu,Associate Professor of Media Arts and Sciences
Pantheon,Amy Yu,Associate Professor of Media Arts and Sciences
Pantheon,Cristian Ignacio Jara Figueroa,Associate Professor of Media Arts and Sciences
Inequality and the impact of industrial structures,Dominik Hartmann,Associate Professor of Media Arts and Sciences
Inequality and the impact of industrial structures,Manuel Aristaran,Associate Professor of Media Arts and Sciences
Auris: Creating Affective Virtual Spaces from Music,Misha Sra,Research Affiliate
Computer Vision and Machine Learning,Eduardo Castello Ferrer,Postdoctoral Fellow
Auris: Creating Affective Virtual Spaces from Music,Prashanth Vijayaraghavan,Research Affiliate
Auris: Creating Affective Virtual Spaces from Music,Pattie Maes,Research Affiliate
Tree Computer,Babak Babakinejad,"Research Lead, Open Agriculture Initiative"
Tree Computer,Alexander Auerbach,"Research Lead, Open Agriculture Initiative"
Tree Computer,Caleb Harper,"Research Lead, Open Agriculture Initiative"
Tree Computer,Daniel Poitrast,"Research Lead, Open Agriculture Initiative"
Tree Computer,Tim Savas,"Research Lead, Open Agriculture Initiative"
Tree Computer,Hildreth England,"Research Lead, Open Agriculture Initiative"
Tree Computer,Arielle Johnson,"Research Lead, Open Agriculture Initiative"
Open Phenome Project,Babak Babakinejad,"Research Lead, Open Agriculture Initiative"
Open Phenome Project,Tim Savas,"Research Lead, Open Agriculture Initiative"
Open Phenome Project,Gordon Brander,"Research Lead, Open Agriculture Initiative"
Open Phenome Project,Hildreth England,"Research Lead, Open Agriculture Initiative"
Open Phenome Project,Eduardo Castello Ferrer,"Research Lead, Open Agriculture Initiative"
Open Phenome Project,Jake Rye,"Research Lead, Open Agriculture Initiative"
Open Phenome Project,Arielle Johnson,"Research Lead, Open Agriculture Initiative"
Open Phenome Project,Caleb Harper,"Research Lead, Open Agriculture Initiative"
Food Server,Caleb Harper,"Director, OpenAg Initiative"
Reading Through a Closed Book,Barmak Heshmat Dehkordi,Visiting Scientist
Food Server,Babak Babakinejad,"Director, OpenAg Initiative"
Food Server,Tim Savas,"Director, OpenAg Initiative"
Food Server,Jake Rye,"Director, OpenAg Initiative"
Active Drawing,Jennifer Jacobs,Research Assistant
Do countries benefit from jumping into unrelated varieties?,Dominik Hartmann,Postdoctoral Fellow
Do countries benefit from jumping into unrelated varieties?,Aamena Alshamsi,Postdoctoral Fellow
Do countries benefit from jumping into unrelated varieties?,Cesar A. Hidalgo,Postdoctoral Fellow
Do countries benefit from jumping into unrelated varieties?,Flavio L. Portas Pinheiro,Postdoctoral Fellow
City Game,Kent Larson,Principal Research Scientist
City Game,Mohammad Hadhrawi,Principal Research Scientist
"Relatedness, Knowledge Diffusion, and the Evolution of Bilateral Trade",Jian Gao,Research Assistant
Meet me in the middle: The reunification of the German research and innovation system,Bogang Jun,Postdoctoral Associate
"Relatedness, Knowledge Diffusion, and the Evolution of Bilateral Trade",Cesar A. Hidalgo,Research Assistant
"Relatedness, Knowledge Diffusion, and the Evolution of Bilateral Trade",Bogang Jun,Research Assistant
"Relatedness, Knowledge Diffusion, and the Evolution of Bilateral Trade",Aamena Alshamsi,Research Assistant
Meet me in the middle: The reunification of the German research and innovation system,Flavio L. Portas Pinheiro,Postdoctoral Associate
Meet me in the middle: The reunification of the German research and innovation system,Cesar A. Hidalgo,Postdoctoral Associate
Spelman: The Design of a two-way ‘Television Studio in a Suitcase’ Broadcast System to Teach Fabrication and Prototyping Remotely,"Colin ""Topper"" Carew","Director, Code Next"
Spelman: The Design of a two-way ‘Television Studio in a Suitcase’ Broadcast System to Teach Fabrication and Prototyping Remotely,Beckett Dunning,"Director, Code Next"
Brain-Controlled Interface for  the Motile Control of Spermatozoa,Anne Liu,Research Assistant
Open Source Estrogen,Sputniko!,Assistant Professor of Media Arts and Sciences
Human Perfume,Anne Liu,Research Assistant
Open Source Estrogen,Mary Tsang,Assistant Professor of Media Arts and Sciences
Hormone Microperformance,Mary Tsang,Research Assistant
Gene Editing and Biomedical Ethics,Kevin Esvelt,Assistant Professor of Media Arts and Sciences
Robot Learning from Human-Generated Rewards,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Gene Editing and Biomedical Ethics,Tenzin Priyadarshi,Assistant Professor of Media Arts and Sciences
DragonBot: Android Phone Robots for Long-Term HRI,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Social Robot as a Younger Curious Peer,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
TinkRBook: Reinventing the Reading Primer,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Social Robot as a Younger Curious Peer,Goren Gordon,Associate Professor of Media Arts and Sciences
TinkRBook: Reinventing the Reading Primer,David Nunez,Associate Professor of Media Arts and Sciences
PANDA: Parental Affective Natural Driver Assistant,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Andorra Living Lab,Kent Larson,Principal Research Scientist
Robotic Language Learning Companions,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
AIDA: Affective Intelligent Driving Agent,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
PANDA: Parental Affective Natural Driver Assistant,Michal Gordon,Associate Professor of Media Arts and Sciences
Andorra Living Lab,Luis Alberto Alonso Pastor,Principal Research Scientist
Andorra Living Lab,Arnaud Grignard,Principal Research Scientist
Andorra Living Lab,Carson Smuts,Principal Research Scientist
Andorra Living Lab,Juanita Devis,Principal Research Scientist
Robotic Language Learning Companions,Jacqueline M Kory Westlund,Associate Professor of Media Arts and Sciences
Robotic Language Learning Companions,Sooyeon Jeong,Associate Professor of Media Arts and Sciences
Curious Social Robot,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Animal-Robot Interaction,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Andorra Living Lab,Ariel Noyman,Principal Research Scientist
Andorra Living Lab,Michael Lin,Principal Research Scientist
Andorra Living Lab,Nai Chun Chen,Principal Research Scientist
Andorra Living Lab,J. Ira Winder,Principal Research Scientist
Andorra Living Lab,Yan Leng,Principal Research Scientist
Andorra Living Lab,Alejandro Noriega Campero,Principal Research Scientist
Andorra Living Lab,Luc Rocher,Principal Research Scientist
Andorra Living Lab,Agnis Stibe,Principal Research Scientist
Electric Parrot,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Curious Social Robot,Goren Gordon,Associate Professor of Media Arts and Sciences
Electric Parrot,Palash Nandy,Associate Professor of Media Arts and Sciences
Cloud-HRI,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Cloud-HRI,Nick DePalma,Associate Professor of Media Arts and Sciences
Evaluation Tool for Recognition of Social-Emotional Expressions from Facial-Head Movements,Rosalind W. Picard,Professor of Media Arts and Sciences
Curious Learning: Understanding Learning Behaviors for Early Literacy,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Curious Learning: Understanding Learning Behaviors for Early Literacy,Nikhita Singh,Associate Professor of Media Arts and Sciences
Curious Learning: Understanding Learning Behaviors for Early Literacy,Pedro Reynolds-Cuellar,Associate Professor of Media Arts and Sciences
Mind-Theoretic Planning for Robots,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Managing Travel Demand: Location Recommendation for System Efficiency,Alex 'Sandy' Pentland,Professor of Media Arts and Sciences
Forget Me Not: The Botany of Desire & Loss,Sputniko!,Assistant Professor of Media Arts and Sciences
Managing Travel Demand: Location Recommendation for System Efficiency,Yan Leng,Professor of Media Arts and Sciences
Forget Me Not: The Botany of Desire & Loss,Anne Liu,Assistant Professor of Media Arts and Sciences
Interactive Journaling,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
PlugPoint—A Platform for Ubiquitous Sensor Networks,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Interactive Journaling,Sooyeon Jeong,Associate Professor of Media Arts and Sciences
City Science Lab Aalto,Ariel Noyman,Research Assistant
MITes: Portable Wireless Sensors for Studying Behavior in Natural Settings,Kent Larson,Principal Research Scientist
(Im)possible Baby,Sputniko!,Assistant Professor of Media Arts and Sciences
PlugPoint—A Platform for Ubiquitous Sensor Networks,Mark Feldmeier,Alexander W Dreyfoos (1954) Professor
City Science Lab Aalto,Kent Larson,Research Assistant
City Science Lab Aalto,Luis Alberto Alonso Pastor,Research Assistant
City Science Lab Aalto,Arnaud Grignard,Research Assistant
MITes: Portable Wireless Sensors for Studying Behavior in Natural Settings,Stephen S. Intille,Principal Research Scientist
(Im)possible Baby,Ai Hasegawa,Assistant Professor of Media Arts and Sciences
Networked Playscapes: Dig Deep,V. Michael Bove,Principal Research Scientist
DCP: Digital Construction Environment,Steven Keating,Research Assistant
Networked Playscapes: Dig Deep,Edwina Portocarrero,Principal Research Scientist
DCP: Digital Construction Environment,Julian Leland,Research Assistant
DCP: Digital Construction Environment,Levi Cai,Research Assistant
DCP: Digital Construction Environment,Barrak Darweesh,Research Assistant
DCP: Digital Construction Environment,Neri Oxman,Research Assistant
Pop Roach,Sputniko!,Assistant Professor of Media Arts and Sciences
Pop Roach,Ai Hasegawa,Assistant Professor of Media Arts and Sciences
Gemini,Neri Oxman,Associate Professor of Media Arts and Sciences
Glass I,John Klein,Research Assistant
Glass I,Markus Kayser,Research Assistant
Glass I,Michael Stern,Research Assistant
Glass I,Chikara Inamura,Research Assistant
Glass I,Daniel Lizardo,Research Assistant
Glass I,Neri Oxman,Research Assistant
SNaSI: Wearable device to help the blind with social navigation,Rebecca Kleinberger,Research Assistant
Synthetic Apiary,Neri Oxman,Associate Professor of Media Arts and Sciences
Synthetic Apiary,Jorge Duro-Royo,Associate Professor of Media Arts and Sciences
Synthetic Apiary,Markus Kayser,Associate Professor of Media Arts and Sciences
Synthetic Apiary,Sunanda Sharma,Associate Professor of Media Arts and Sciences
Living Mushtari,Christoph Bader,Research Assistant
Living Mushtari,Dominik Kolb,Research Assistant
Living Mushtari,Will Patrick,Research Assistant
Living Mushtari,Sunanda Sharma,Research Assistant
Living Mushtari,Steven Keating,Research Assistant
Living Mushtari,Neri Oxman,Research Assistant
Water-Based Additive Manufacturing,Jorge Duro-Royo,Research Assistant
Water-Based Additive Manufacturing,Yen-Ju (Tim) Tai,Research Assistant
Water-Based Additive Manufacturing,Laia Mogas-Soldevila,Research Assistant
Water-Based Additive Manufacturing,Joshua Van Zak,Research Assistant
Water-Based Additive Manufacturing,Andrea Ling,Research Assistant
Water-Based Additive Manufacturing,Nicolas Hogan,Research Assistant
Water-Based Additive Manufacturing,Christoph Bader,Research Assistant
Water-Based Additive Manufacturing,Neri Oxman,Research Assistant
Sonic Murals,Alexandra Rieger,Research Assistant
Social Robot Toolkit,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Social Robot Toolkit,Edith K. Ackermann,Associate Professor of Media Arts and Sciences
Social Robot Toolkit,Hae Won Park,Associate Professor of Media Arts and Sciences
Social Robot Toolkit,Randi Williams,Associate Professor of Media Arts and Sciences
Social Robot Toolkit,Michal Gordon,Associate Professor of Media Arts and Sciences
Huggable: A Social Robot for Pediatric Care,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Huggable: A Social Robot for Pediatric Care,Sooyeon Jeong,Associate Professor of Media Arts and Sciences
Robotic Learning Companions,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Robotic Learning Companions,David Nunez,Associate Professor of Media Arts and Sciences
Robotic Learning Companions,Jacqueline M Kory Westlund,Associate Professor of Media Arts and Sciences
Robotic Learning Companions,Samuel Spaulding,Associate Professor of Media Arts and Sciences
SHARE: Understanding and Manipulating Attention Using Social Robots,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
SHARE: Understanding and Manipulating Attention Using Social Robots,Nick DePalma,Associate Professor of Media Arts and Sciences
Socially Assistive Robotics: An NSF Expedition in Computing,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
DARPA Shredder Challenge: Crowdsourcing Under Attack,Iyad Rahwan,Associate Professor of Media Arts and Sciences
Socially Assistive Robotics: An NSF Expedition in Computing,Edith K. Ackermann,Associate Professor of Media Arts and Sciences
Socially Assistive Robotics: An NSF Expedition in Computing,Jacqueline M Kory Westlund,Associate Professor of Media Arts and Sciences
Socially Assistive Robotics: An NSF Expedition in Computing,Jin Joo Lee,Associate Professor of Media Arts and Sciences
Storytelling Companion,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Socially Assistive Robotics: An NSF Expedition in Computing,Sooyeon Jeong,Associate Professor of Media Arts and Sciences
Socially Assistive Robotics: An NSF Expedition in Computing,Catherine Havasi,Associate Professor of Media Arts and Sciences
Socially Assistive Robotics: An NSF Expedition in Computing,Goren Gordon,Associate Professor of Media Arts and Sciences
Storytelling Companion,Jacqueline M Kory Westlund,Associate Professor of Media Arts and Sciences
Socially Assistive Robotics: An NSF Expedition in Computing,Luke Plummer,Associate Professor of Media Arts and Sciences
Socially Assistive Robotics: An NSF Expedition in Computing,Michal Gordon,Associate Professor of Media Arts and Sciences
Socially Assistive Robotics: An NSF Expedition in Computing,Samuel Spaulding,Associate Professor of Media Arts and Sciences
Children Use Nonverbal Cues to Learn from Robots,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Children Use Nonverbal Cues to Learn from Robots,Jacqueline M Kory Westlund,Associate Professor of Media Arts and Sciences
Children Use Nonverbal Cues to Learn from Robots,Sooyeon Jeong,Associate Professor of Media Arts and Sciences
Predicting Perceived Emotions in Animated GIFs with 3D Convolutional Neural Networks,Rosalind W. Picard,Professor of Media Arts and Sciences
Predicting Perceived Emotions in Animated GIFs with 3D Convolutional Neural Networks,Weixuan 'Vincent' Chen,Professor of Media Arts and Sciences
The Observatory of Global Culture,Cesar A. Hidalgo,Associate Professor of Media Arts and Sciences
The Observatory of Global Culture,Kevin Zeng Hu,Associate Professor of Media Arts and Sciences
The Observatory of Global Culture,Amy Yu,Associate Professor of Media Arts and Sciences
The Language Group Network,Cesar A. Hidalgo,Associate Professor of Media Arts and Sciences
The Future of Collaborative Distributed Processing,Barry L. Vercoe,Professor Emeritus
Protocol,Henry Holtzman,Research Affiliate
Throwing Light,Chris Csikszentmihályi,Research Affiliate
Calibration Invariant Imaging,Guy Satat,Research Assistant
Calibration Invariant Imaging,Otkrist Gupta,Research Assistant
Calibration Invariant Imaging,Barmak Heshmat Dehkordi,Research Assistant
Calibration Invariant Imaging,Ramesh Raskar,Research Assistant
Lensing: Cardiolinguistics for Atypical Angina,Rosalind W. Picard,Professor of Media Arts and Sciences
Lensing: Cardiolinguistics for Atypical Angina,Karthik Dinakar,Professor of Media Arts and Sciences
CityScope Mark III: Dynamic 3D,Kent Larson,Principal Research Scientist
CityScope Mark III: Dynamic 3D,J. Ira Winder,Principal Research Scientist
Ethics and Empathy Learning,Tenzin Priyadarshi,"Director, Ethics Initiative "
IDA: Inexpensive Networked Digital Stethoscope,Rosalind W. Picard,Professor of Media Arts and Sciences
IDA: Inexpensive Networked Digital Stethoscope,Yadid Ayzenberg,Professor of Media Arts and Sciences
Glass II,Chikara Inamura,Computational Designer and Structural Engineer
Glass II,Giorgia Franchin,Computational Designer and Structural Engineer
Glass II,Michael Stern,Computational Designer and Structural Engineer
Glass II,Neri Oxman,Computational Designer and Structural Engineer
Glass II,Kelly Donovan,Computational Designer and Structural Engineer
Glass II,Nassia Inglessis,Computational Designer and Structural Engineer
Glass II,Tal Achituv,Computational Designer and Structural Engineer
Glass II,Daniel Lizardo,Computational Designer and Structural Engineer
Glass II,Tomer Weller,Computational Designer and Structural Engineer
CityScope Mark IVb: Land Use/Transportation,Kent Larson,Principal Research Scientist
CityScope Mark II: Scout,Kent Larson,Principal Research Scientist
"Strangers, Voices & Society",Kevin Slavin,Research Affiliate
Theory Unifying Ray and Wavefront Lightfield Propagation,Ramesh Raskar,Associate Professor of Media Arts and Sciences
CityScope Mark IVb: Land Use/Transportation,Carson Smuts,Principal Research Scientist
CityScope Mark IVb: Land Use/Transportation,J. Ira Winder,Principal Research Scientist
CityScope Mark II: Scout,J. Ira Winder,Principal Research Scientist
"Strangers, Voices & Society",Tod Machover,Research Affiliate
"Strangers, Voices & Society",Tenzin Priyadarshi,Research Affiliate
Theory Unifying Ray and Wavefront Lightfield Propagation,Nikhil Naik,Associate Professor of Media Arts and Sciences
AnimaStage,Ken Nakagaki,Research Assistant
AnimaStage,Udayan Umapathi,Research Assistant
AnimaStage,Daniel Leithinger,Research Assistant
AnimaStage,Hiroshi Ishii,Research Assistant
Transformative Leadership,Tenzin Priyadarshi,"Director, Ethics Initiative "
Society-in-the-Loop,Iyad Rahwan,Associate Professor of Media Arts and Sciences
Crystal Ball,Amir Lazarovich,Research Assistant
Opinion Aggregation,Iyad Rahwan,Associate Professor of Media Arts and Sciences
Crystal Ball,V. Michael Bove,Research Assistant
Crystal Ball,Andrew Lippman,Research Assistant
Crystal Ball,Daniel Novy,Research Assistant
Opinion Aggregation,Edmond Awad,Associate Professor of Media Arts and Sciences
Living Materials Library,Sunanda Sharma,Research Assistant
Living Materials Library,Bianca Datta,Research Assistant
Living Materials Library,Neri Oxman,Research Assistant
Living Materials Library,V. Michael Bove,Research Assistant
Sphera,Amir Lazarovich,Research Assistant
Evolutron: Deep Learning for Protein Design,Thrasyvoulos Karydis,Research Assistant
Sphera,Andrew Lippman,Research Assistant
Evolutron: Deep Learning for Protein Design,Kfir Schreiber,Research Assistant
Evolutron: Deep Learning for Protein Design,Joseph M. Jacobson,Research Assistant
Invisible Ink,Amir Lazarovich,Research Assistant
Ethos,Amir Lazarovich,Research Assistant
Invisible Ink,Andrew Lippman,Research Assistant
Ethos,Guy Zyskind,Research Assistant
Ethos,Andrew Lippman,Research Assistant
Computation Ear Imaging,Anshuman Das,Postdoctoral Associate
Social Mirror,Ann Yuan,Research Assistant
Engineering Microbial Ecosystems,Avery Normandin,Research Assistant
"Health-Tech Innovations with Tata Trusts, Mumbai",Ramesh Raskar,Associate Professor of Media Arts and Sciences
Social Mirror,Nabeel Gillani,Research Assistant
Social Mirror,Deb Roy,Research Assistant
Engineering Microbial Ecosystems,Kevin Esvelt,Research Assistant
Engineering Microbial Ecosystems,Erika Alden DeBenedictis,Research Assistant
"Health-Tech Innovations with Tata Trusts, Mumbai",Anshuman Das,Associate Professor of Media Arts and Sciences
Streetchange,Ramesh Raskar,Associate Professor of Media Arts and Sciences
Streetchange,Nikhil Naik,Associate Professor of Media Arts and Sciences
Streetchange,Cesar A. Hidalgo,Associate Professor of Media Arts and Sciences
Time Out: Reflective User Interface for Social Networks,Karthik Dinakar,Research Scientist
Time Out: Reflective User Interface for Social Networks,Henry A. Lieberman,Research Scientist
Timenesia,Ethan Zuckerman,Associate Professor of the Practice in Media Arts and Sciences
Timenesia,Leo Burd,Associate Professor of the Practice in Media Arts and Sciences
Timenesia,Rahul Bhargava,Associate Professor of the Practice in Media Arts and Sciences
ToDoGo,Henry A. Lieberman,Visiting Scientist
"Topic-Spotting, Common-Sense Translation Assistant",Chris Schmandt,Principal Research Scientist
"Topic-Spotting, Common-Sense Translation Assistant",Henry A. Lieberman,Principal Research Scientist
Time-Critical Networks for Interaction Design,Barry L. Vercoe,Professor Emeritus
Tilt-Sensing Quilt,Leah Buechley,Associate Professor
Time-Critical Networks for Interaction Design,John H. Maloney,Professor Emeritus
ProtoTouch: Multitouch Interfaces to  Everyday Objects,V. Michael Bove,Principal Research Scientist
Pulp-Based Computing: A Framework for Building Computers Out of Paper,Pattie Maes,Professor of Media Technology
Pulp-Based Computing: A Framework for Building Computers Out of Paper,Marcelo Coelho,Professor of Media Technology
Topobo Backpacks,Hiroshi Ishii,Jerome B. Wiesner Professor of Media Arts and Sciences
Pushpin Computing,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Quantum Computation with Trapped Atoms,Ike Chuang,Associate Professor
radiO_o,Kevin Slavin,Research Affiliate
radiO_o,Daniel Novy,Research Affiliate
radiO_o,Mark Feldmeier,Research Affiliate
radiO_o,Che-Wei Wang,Research Affiliate
radiO_o,Taylor Levy,Research Affiliate
Quantizer: Sonification Platform for High-Energy Physics Data,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Quantizer: Sonification Platform for High-Energy Physics Data,Juliana Cherston,Alexander W Dreyfoos (1954) Professor
Refugee Learning Accelerator,J. Philipp Schmidt,Research Scientist
Persuasive Urban Mobility,Kent Larson,Principal Research Scientist
Refugee Learning Accelerator,Genevieve Barrons,Research Scientist
Persuasive Urban Mobility,Ryan C. C. Chin,Principal Research Scientist
Persuasive Urban Mobility,Agnis Stibe,Principal Research Scientist
Persuasive Urban Mobility,Katja Schechtner,Principal Research Scientist
Real-Time Searches on a Local Social Network,Henry A. Lieberman,Visiting Scientist
Read Out Loud,J. Philipp Schmidt,Research Scientist
Marauder's Map,Daniel Novy,Research Assistant
Real-Time Behavior Analysis,Deb Roy,Associate Professor of Media Arts and Sciences
